home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,new_device,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,hour,day_of_week,is_weekend,is_fraud
us,USD,GBP,web,211.92,211.92,3.65,False,False,0.308,enhanced,367,0.939,0,0.176,0,0,0.0,16.0,Saturday,1,0
us,USD,INR,mobile,177.69,177.69,3.63,False,False,0.652,standard,147,0.551,0,0.391,0,0,0.0,22.0,Saturday,1,0
ca,CAD,USD,mobile,48.64,36.0,2.77,False,False,0.233,standard,1041,0.867,0,0.245,0,0,0.0,17.0,Thursday,0,0
us,USD,NGN,mobile,148.33,148.33,3.33,False,False,0.482,standard,263,0.522,0,0.223,0,0,0.25,9.0,Friday,0,0
us,USD,GBP,mobile,441.49,441.49,8.11,True,False,0.241,enhanced,257,0.744,0,0.257,0,0,0.0,7.0,Tuesday,0,0
us,USD,MXN,mobile,401.69,401.69,7.34,False,False,0.31,standard,147,0.551,0,0.391,0,0,0.2,12.0,Monday,0,0
us,USD,PHP,web,148.19,148.19,2.8,False,True,0.301,standard,263,0.522,0,0.223,0,0,0.1,10.0,Thursday,0,1
us,USD,PHP,mobile,359.16,359.16,6.54,False,False,0.435,standard,147,0.551,0,0.391,0,1,0.1,12.0,Thursday,0,0
uk,GBP,CAD,mobile,80.28,100.35,3.61,False,False,0.302,standard,718,0.953,0,0.169,0,0,0.0,6.0,Thursday,0,0
us,USD,GBP,web,67.95,67.95,2.04,False,False,0.221,standard,1016,0.944,0,0.247,0,0,0.0,4.0,Sunday,1,0
us,USD,USD,web,97.55,97.55,1.68,False,True,0.234,enhanced,257,0.894,0,0.257,0,0,0.0,12.0,Monday,0,0
us,USD,PHP,mobile,105.99,105.99,2.62,False,False,0.371,enhanced,367,0.939,0,0.176,0,0,0.1,7.0,Wednesday,0,0
us,USD,NGN,mobile,182.77,182.77,3.86,False,False,0.222,enhanced,533,0.971,0,0.535,0,0,0.25,1.0,Monday,0,0
us,USD,EUR,mobile,223.99,223.99,4.11,False,False,0.227,enhanced,257,0.894,0,0.257,0,0,0.0,22.0,Saturday,1,0
us,USD,CAD,mobile,48.36,48.36,0.85,False,False,0.585,enhanced,367,0.939,0,0.176,0,0,0.0,19.0,Saturday,1,0
us,USD,CNY,mobile,110.75,110.75,3.13,False,True,0.3,standard,298,0.336,0,0.166,0,0,0.0,1.0,Monday,0,0
us,USD,CNY,mobile,48.67,48.67,2.14,False,False,0.809,standard,34,0.427,0,0.068,0,0,0.0,14.0,Thursday,0,0
uk,GBP,USD,atm,173.78,217.22,3.85,True,True,0.304,standard,718,0.803,0,0.169,0,0,0.0,9.0,Monday,0,0
uk,GBP,INR,web,9994.28,12492.85,151.23,False,False,0.161,standard,4,0.892,0,0.407,0,1,0.0,2.0,Friday,0,0
us,USD,NGN,mobile,328.64,328.64,5.26,False,False,0.387,standard,446,0.9,0,0.199,0,0,0.25,12.0,Saturday,1,0
uk,GBP,CAD,web,123.81,154.76,1.56,False,False,0.341,standard,4,0.892,0,0.407,0,0,0.0,18.0,Monday,0,0
us,USD,GBP,mobile,93.51,93.51,2.07,False,False,0.148,standard,263,0.522,0,0.223,0,0,0.0,0.0,Monday,0,0
us,USD,USD,mobile,152.42,152.42,3.14,False,False,0.515,standard,1018,0.934,0,0.087,0,0,0.0,3.0,Thursday,0,0
us,USD,USD,mobile,23.8,23.8,0.55,False,False,0.378,standard,263,0.522,0,0.223,0,0,0.0,23.0,Tuesday,0,0
us,USD,EUR,web,663.33,663.33,10.18,False,False,0.178,enhanced,257,0.894,0,0.257,0,0,0.0,20.0,Friday,0,0
us,USD,NGN,mobile,133.94,133.94,3.6,False,False,0.117,standard,1018,0.934,0,0.087,0,0,0.25,22.0,Thursday,0,0
us,USD,CAD,mobile,48.12,410.21,111.2,False,False,0.317,unknown,263,0.69,0,0.223,0,0,0.0,9.0,Tuesday,0,0
us,USD,PHP,atm,54.47,54.47,1.17,False,False,0.287,standard,1018,0.934,0,0.087,0,0,0.1,23.0,Sunday,1,0
us,USD,EUR,atm,493.58,493.58,8.61,False,True,0.303,standard,147,0.551,0,0.391,0,0,0.0,0.0,Friday,0,0
us,USD,CNY,atm,114.08,114.08,2.48,False,False,0.461,standard,298,0.336,0,0.166,0,0,0.0,22.0,Wednesday,0,0
us,USD,MXN,mobile,171.84,171.84,3.46,False,False,0.372,standard,1018,0.934,0,0.087,0,0,0.2,6.0,Sunday,1,0
us,USD,CAD,web,71.66,71.66,2.2,False,True,0.497,standard,263,0.522,0,0.223,0,0,0.0,16.0,Tuesday,0,0
us,USD,CAD,web,205.81,205.81,2.85,False,False,0.378,standard,298,0.336,0,0.166,0,0,0.0,1.0,Monday,0,0
uk,GBP,CNY,mobile,514.5,643.12,8.72,False,False,0.494,standard,4,0.892,0,0.407,0,0,0.0,4.0,Wednesday,0,0
uk,GBP,USD,mobile,139.05,173.81,2.44,False,True,0.522,standard,4,0.892,0,0.407,0,0,0.0,20.0,Monday,0,0
us,USD,EUR,web,147.08,147.08,3.63,False,False,0.388,enhanced,257,0.894,0,0.257,0,0,0.0,3.0,Tuesday,0,0
us,USD,INR,mobile,89.99,89.99,2.24,False,False,0.281,standard,1018,0.934,0,0.087,0,0,0.0,21.0,Saturday,1,0
us,USD,PHP,mobile,158.42,158.42,3.57,False,False,0.267,enhanced,367,0.939,0,0.176,0,1,0.1,2.0,Tuesday,0,0
us,USD,MXN,atm,123.58,123.58,2.47,False,False,0.27,enhanced,257,0.894,0,0.257,0,0,0.2,22.0,Thursday,0,0
us,USD,CNY,web,47.66,47.66,2.33,False,False,0.863,enhanced,367,0.939,0,0.176,0,0,0.0,8.0,Wednesday,0,0
uk,GBP,MXN,mobile,144.18,180.23,2.8,False,True,0.559,standard,4,0.892,0,0.407,0,0,0.0,8.0,Saturday,1,0
us,USD,EUR,mobile,101.54,101.54,2.3,True,False,0.398,standard,263,0.372,0,0.223,0,0,0.0,5.0,Tuesday,0,0
us,USD,CNY,mobile,71.2,71.2,1.57,False,False,0.214,standard,263,0.522,0,0.223,0,0,0.0,10.0,Wednesday,0,0
us,USD,PHP,mobile,102.98,102.98,2.14,False,False,0.227,standard,1018,0.934,0,0.087,0,0,0.1,20.0,Thursday,0,0
us,USD,INR,mobile,582.18,582.18,9.58,False,False,0.103,standard,147,0.551,0,0.391,0,1,0.0,5.0,Sunday,1,0
uk,GBP,NGN,mobile,237.91,297.39,4.88,False,False,0.213,standard,718,0.953,0,0.169,0,0,0.22,15.0,Tuesday,0,0
uk,GBP,EUR,mobile,59.92,74.9,1.42,False,False,0.885,standard,4,0.892,0,0.407,0,0,0.05,18.0,Saturday,1,0
uk,GBP,CNY,web,140.49,175.61,3.41,False,False,0.312,standard,259,0.691,0,0.187,0,0,0.0,3.0,Tuesday,0,0
us,USD,USD,atm,404.85,404.85,6.77,False,False,0.486,standard,263,0.522,0,0.223,0,0,0.0,16.0,Sunday,1,0
us,USD,INR,mobile,164.71,164.71,3.11,True,False,0.294,enhanced,257,0.744,0,0.257,0,0,0.0,11.0,Thursday,0,0
uk,GBP,INR,web,271.2,410.21,111.2,False,False,0.483,unknown,4,0.69,0,0.407,0,0,0.0,3.0,Saturday,1,0
us,USD,USD,web,338.94,338.94,5.67,False,False,0.391,standard,298,0.336,0,0.166,0,0,0.0,9.0,Tuesday,0,0
uk,GBP,EUR,mobile,28.66,35.82,1.52,False,True,0.353,standard,4,0.892,0,0.407,0,0,0.05,6.0,Thursday,0,0
us,USD,CAD,atm,106.82,106.82,2.99,False,False,0.993,standard,1018,0.934,0,0.087,0,0,0.0,2.0,Monday,0,0
ca,CAD,MXN,web,356.28,263.65,6.14,False,False,0.301,low,615,0.515,0,0.355,0,0,0.0,15.0,Monday,0,0
us,USD,CNY,atm,375.96,375.96,6.53,True,False,0.096,standard,298,0.186,0,0.166,0,0,0.0,14.0,Sunday,1,0
us,USD,MXN,mobile,261.45,261.45,5.07,False,False,0.895,standard,298,0.336,0,0.166,0,0,0.2,11.0,Friday,0,0
ca,CAD,USD,mobile,57.8,42.77,-1.0,False,False,1.2,standard,272,-0.1,0,0.048,-1,0,0.0,23.0,Saturday,1,0
ca,CAD,GBP,mobile,62.67,46.38,2.08,False,False,0.238,low,615,0.515,0,0.355,0,0,0.0,5.0,Monday,0,0
ca,CAD,MXN,mobile,237.6,175.82,5.42,False,False,0.281,standard,172,0.881,0,0.199,0,0,0.0,15.0,Monday,0,0
us,USD,CAD,web,280.62,280.62,5.4,False,False,0.217,enhanced,367,0.939,0,0.176,0,0,0.0,17.0,Friday,0,0
uk,GBP,CNY,mobile,54.84,68.55,1.78,False,False,0.413,standard,718,0.953,0,0.169,0,0,0.0,11.0,Sunday,1,0
us,USD,PHP,mobile,83.08,83.08,2.76,False,False,0.325,enhanced,367,0.939,0,0.176,0,0,0.1,6.0,Thursday,0,0
us,USD,GBP,web,225.47,225.47,5.26,False,False,0.488,standard,1018,0.934,0,0.087,0,0,0.0,3.0,Friday,0,0
us,USD,EUR,mobile,610.8,410.21,111.2,False,False,0.164,unknown,298,0.69,0,0.166,0,0,0.0,8.0,Wednesday,0,0
us,USD,NGN,web,152.64,152.64,3.48,False,True,0.322,standard,298,0.336,0,0.166,0,0,0.25,12.0,Tuesday,0,1
us,USD,EUR,web,72.73,72.73,2.99,False,False,0.223,standard,263,0.522,0,0.223,0,0,0.0,11.0,Tuesday,0,0
uk,GBP,GBP,web,119.28,149.1,2.79,False,False,0.254,standard,718,0.953,0,0.169,0,0,0.0,15.0,Friday,0,0
uk,GBP,CAD,web,81.86,102.33,2.35,True,False,0.238,standard,4,0.742,0,0.407,0,1,0.0,14.0,Wednesday,0,0
ca,CAD,NGN,mobile,81.76,60.5,2.99,False,False,0.316,standard,947,0.625,0,0.268,0,0,0.0,14.0,Friday,0,0
us,USD,PHP,mobile,346.5,346.5,6.61,False,False,0.22,enhanced,367,0.939,0,0.176,0,0,0.1,1.0,Tuesday,0,0
unknown,GBP,NGN,web,188.5,235.62,5.1,False,False,0.33,standard,4,0.892,0,0.407,0,1,0.22,10.0,Monday,0,0
us,USD,NGN,mobile,419.5,419.5,6.62,False,False,0.18,low,616,0.702,0,0.361,0,0,0.25,3.0,Wednesday,0,0
us,USD,NGN,mobile,165.99,165.99,3.7,False,False,0.132,standard,1016,0.944,0,0.247,0,0,0.25,15.0,Sunday,1,0
us,USD,PHP,mobile,695.86,695.86,11.53,False,False,0.237,standard,298,0.336,0,0.166,0,0,0.1,7.0,Friday,0,0
us,USD,CAD,atm,55.24,55.24,1.61,True,True,0.35,standard,263,0.372,0,0.223,0,0,0.0,11.0,Saturday,1,0
us,USD,EUR,mobile,336.55,336.55,5.46,False,False,0.207,standard,298,0.336,0,0.166,0,0,0.0,5.0,Monday,0,0
us,USD,CAD,mobile,245.09,245.09,5.08,False,False,0.125,standard,298,0.336,0,0.166,0,0,0.0,11.0,Thursday,0,0
us,USD,GBP,mobile,358.89,358.89,6.07,True,False,0.203,standard,859,0.81,0,0.363,0,0,0.0,20.0,Friday,0,0
ca,CAD,PHP,mobile,15.08,11.16,1.2,False,False,0.249,standard,947,0.625,0,0.268,0,0,0.0,20.0,Friday,0,0
us,USD,USD,mobile,282.41,282.41,5.32,False,False,0.427,enhanced,367,0.939,0,0.176,0,0,0.0,2.0,Monday,0,0
us,USD,USD,web,427.3,427.3,7.36,False,False,0.166,standard,263,0.522,0,0.223,0,0,0.0,20.0,Sunday,1,0
us,USD,INR,web,99.83,99.83,2.71,False,True,0.977,enhanced,367,0.939,0,0.176,0,0,0.0,13.0,Friday,0,0
us,USD,USD,mobile,81.01,81.01,1.16,False,False,0.44,standard,298,0.336,0,0.166,0,0,0.0,14.0,Sunday,1,0
us,USD,NGN,mobile,412.91,412.91,7.31,False,False,0.426,enhanced,367,0.939,0,0.176,0,0,0.25,21.0,Thursday,0,0
us,USD,EUR,web,124.17,124.17,2.81,False,False,0.524,standard,263,0.522,0,0.223,0,0,0.0,11.0,Monday,0,0
us,USD,CNY,atm,74.52,74.52,1.84,False,False,0.136,standard,263,0.522,0,0.223,0,0,0.0,22.0,Wednesday,0,0
ca,CAD,GBP,mobile,104.51,77.34,2.21,False,False,0.222,low,824,0.607,0,0.282,0,0,0.0,18.0,Thursday,0,0
us,USD,GBP,web,194.0,194.0,3.39,False,False,0.068,standard,147,0.551,0,0.391,0,0,0.0,3.0,Friday,0,0
us,USD,CAD,web,173.44,173.44,3.38,False,False,0.31,standard,298,0.336,0,0.166,0,0,0.0,16.0,Thursday,0,0
us,USD,PHP,mobile,139.9,139.9,2.58,False,True,0.496,standard,1016,0.944,0,0.247,0,0,0.1,10.0,Tuesday,0,0
us,USD,CAD,mobile,652.98,652.98,10.57,False,False,0.371,enhanced,257,0.894,0,0.257,0,0,0.0,13.0,Thursday,0,0
us,USD,NGN,mobile,536.73,536.73,8.95,False,False,0.669,standard,1018,0.934,0,0.087,0,0,0.25,14.0,Sunday,1,0
us,USD,CAD,web,47.6,47.6,1.3,False,False,0.162,standard,298,0.336,0,0.166,0,0,0.0,6.0,Wednesday,0,0
us,USD,INR,atm,206.33,410.21,111.2,False,False,0.207,unknown,257,0.69,0,0.257,0,0,0.0,12.0,Wednesday,0,0
uk,GBP,PHP,mobile,161.28,201.6,3.16,False,False,0.341,standard,4,0.892,0,0.407,0,0,0.0,12.0,Monday,0,0
us,USD,CNY,mobile,204.03,204.03,3.5,False,False,0.251,enhanced,367,0.939,0,0.176,0,0,0.0,10.0,Wednesday,0,0
us,USD,CNY,mobile,49.87,49.87,1.91,False,False,0.288,standard,298,0.336,0,0.166,0,0,0.0,9.0,Saturday,1,0
us,USD,GBP,web,220.05,220.05,5.22,False,False,0.142,standard,1018,0.934,0,0.087,0,1,0.0,6.0,Sunday,1,0
us,USD,EUR,mobile,105.1,105.1,2.07,False,False,0.213,standard,147,0.551,0,0.391,0,0,0.0,13.0,Sunday,1,0
us,USD,PHP,mobile,257.56,257.56,4.65,False,False,0.15,standard,147,0.551,0,0.391,0,1,0.1,5.0,Sunday,1,0
us,USD,NGN,web,184.61,184.61,4.21,False,False,0.286,standard,298,0.336,0,0.166,0,1,0.25,10.0,Saturday,1,0
us,USD,EUR,mobile,112.66,112.66,2.12,False,True,0.251,standard,298,0.336,0,0.166,0,0,0.0,15.0,Thursday,0,0
us,USD,EUR,mobile,542.73,542.73,9.9,False,False,0.299,standard,263,0.522,0,0.223,0,0,0.0,1.0,Monday,0,0
ca,CAD,NGN,mobile,143.98,106.55,3.07,False,False,0.389,standard,947,0.625,0,0.268,0,0,0.0,15.0,Saturday,1,0
us,USD,NGN,mobile,338.73,338.73,5.37,False,False,0.979,standard,532,0.842,1,0.15,0,0,0.25,12.0,Friday,0,0
us,USD,USD,atm,158.52,158.52,3.13,False,False,0.378,standard,298,0.336,0,0.166,0,0,0.0,12.0,Tuesday,0,0
uk,GBP,INR,mobile,230.46,288.08,4.58,False,True,0.462,standard,4,0.892,0,0.407,0,0,0.0,5.0,Wednesday,0,1
us,USD,PHP,mobile,73.95,73.95,2.31,False,False,0.078,standard,263,0.522,0,0.223,3,3,0.1,12.0,Friday,0,0
us,USD,EUR,mobile,102.37,102.37,2.37,False,False,0.345,standard,34,0.427,0,0.068,0,0,0.0,19.0,Tuesday,0,0
us,USD,CNY,mobile,104.0,104.0,2.42,False,False,0.382,standard,298,0.336,0,0.166,0,0,0.0,22.0,Thursday,0,0
us,USD,CNY,mobile,118.39,118.39,2.8,False,True,0.457,standard,1018,0.934,0,0.087,0,0,0.0,11.0,Sunday,1,0
us,USD,GBP,mobile,43.69,43.69,1.68,False,False,0.258,enhanced,367,0.939,0,0.176,0,0,0.0,18.0,Sunday,1,0
us,USD,GBP,mobile,96.83,96.83,0.59,False,False,0.25,standard,147,0.551,0,0.391,0,1,0.0,23.0,Friday,0,0
us,USD,EUR,mobile,48.96,48.96,2.2,False,False,0.325,low,954,0.576,0,0.332,0,0,0.0,12.0,Saturday,1,0
ca,CAD,CAD,mobile,28.16,20.84,2.28,False,False,0.488,low,824,0.607,0,0.282,0,0,0.0,9.0,Wednesday,0,0
us,USD,NGN,web,182.1,182.1,4.32,False,False,0.338,enhanced,257,0.894,0,0.257,0,0,0.25,20.0,Sunday,1,0
uk,GBP,EUR,mobile,32.36,40.45,1.52,False,False,0.187,standard,718,0.953,0,0.169,6,7,0.05,12.0,Monday,0,0
uk,GBP,MXN,web,145.64,182.05,3.09,False,False,0.098,standard,4,0.892,0,0.407,0,0,0.0,16.0,Wednesday,0,0
us,USD,CNY,web,98.52,98.52,2.53,False,False,0.081,enhanced,367,0.939,0,0.176,0,0,0.0,10.0,Friday,0,0
uk,GBP,NGN,web,108.8,136.0,2.33,False,False,0.121,standard,4,0.892,0,0.407,0,0,0.22,5.0,Friday,0,0
us,USD,PHP,mobile,119.25,119.25,3.13,False,False,0.348,standard,263,0.522,0,0.223,0,0,0.1,10.0,Friday,0,0
ca,CAD,PHP,mobile,189.12,139.95,4.13,False,False,0.369,low,824,0.607,0,0.282,0,0,0.0,8.0,Tuesday,0,0
us,USD,NGN,mobile,50.08,50.08,2.58,False,False,0.412,enhanced,367,0.939,0,0.176,0,0,0.25,22.0,Tuesday,0,0
us,USD,CAD,web,277.7,277.7,5.43,False,False,0.358,standard,1018,0.934,0,0.087,0,0,0.0,21.0,Tuesday,0,0
us,USD,EUR,mobile,107.41,107.41,2.73,False,False,0.164,standard,1011,0.824,0,0.123,0,0,0.0,10.0,Saturday,1,0
us,USD,CNY,web,33.79,33.79,1.39,False,False,0.208,enhanced,257,0.894,0,0.257,0,0,0.0,9.0,Monday,0,0
us,USD,USD,web,160.07,160.07,2.81,False,False,0.319,standard,263,0.522,0,0.223,0,1,0.0,20.0,Thursday,0,0
us,USD,PHP,mobile,113.69,113.69,3.53,False,False,0.3,standard,1016,0.944,0,0.247,0,0,0.1,9.0,Sunday,1,0
uk,GBP,MXN,mobile,20.39,410.21,111.2,False,False,0.153,unknown,4,0.69,0,0.407,0,1,0.0,14.0,Monday,0,0
uk,GBP,NGN,mobile,127.93,159.91,2.63,False,False,0.451,standard,4,0.892,0,0.407,0,0,0.22,13.0,Friday,0,1
us,USD,CAD,mobile,363.19,363.19,6.89,False,False,0.29,standard,1018,0.934,0,0.087,0,0,0.0,8.0,Thursday,0,0
uk,GBP,MXN,mobile,892.18,1115.22,14.97,False,False,0.194,standard,4,0.892,0,0.407,0,0,0.0,9.0,Sunday,1,0
